Supplier_ID,Name,Country,VAT_Number,Email,Contract_Type,Creation_Date,Compliance_RGPD,Status
SUPP0329,Johnston-Simmons,Japan,IX72476051,ryan29@hotmail.com,Logistics,2021-09-26,No,Active
SUPP0466,Gonzalez-Clark,United Kingdom,lR81988776,yward@herrera-nelson.com,Logistics,2016-09-09,Yes,Inactive
SUPP0984,"Haley, Nelson and Vargas",Switzerland,,ajackson@hotmail.com,Distribution,2022-12-07,Yes,Inactive
SUPP0574,Perkins-Flores,UAE,Ty79940127,howardpaul@smith.com,Logistics,2024-01-10,Yes,Inactive
SUPP0412,Johnson-Chen,UAE,Cd18104584,kjones@gmail.com,Consulting,2022-03-16,Yes,Inactive
SUPP0379,Pittman-Garcia,Brazil,fv15373784,davidsonjeffrey@weber-leon.biz,Consulting,2019-07-23,Yes,Active
SUPP0131,Rodriguez-Lee,France,lf62174107,xmitchell@ramirez-bradshaw.biz,Consulting,2017-01-15,Yes,Inactive
SUPP0545,"Stevens, Sexton and Alexander",United Kingdom,zR36684780,stephenunderwood@roth.biz,Design,2018-09-08,Yes,Active
SUPP0322,Foster Group,UAE,AD46998567,william10@pineda.com,Logistics,2016-09-10,Yes,Inactive
SUPP0405,Wright-Scott,India,fe00264132,patricia96@hotmail.com,Logistics,2016-05-30,Yes,Inactive
SUPP0501,"Rowe, Mason and Allison",Japan,Ws92794568,jessica99@gmail.com,Consulting,2023-05-31,Yes,Active
SUPP0483,Bishop-Long,Switzerland,gF74374896,vasquezmary@rodriguez.com,Production,2020-12-22,Yes,Inactive
SUPP0039,Taylor PLC,Japan,BK59367978,jessicatownsend@wood.net,Design,2021-07-02,Yes,Active
SUPP0189,Snyder LLC,France,yl38515727,lewispaula@gmail.com,Distribution,2023-09-05,Yes,Active
SUPP0812,Ferguson-Gross,Germany,YQ02109864,austinmatthew@knight.info,Consulting,2015-10-19,Yes,Active
SUPP0176,Phillips-Hughes,Japan,hH50740544,saunderstimothy@gmail.com,Production,2021-12-25,Yes,Inactive
SUPP0115,Estes-Alvarado,Italy,ra59179402,mitchellmelanie@hotmail.com,Design,2020-04-26,Yes,Inactive
SUPP0221,Frank and Sons,Japan,RY05493802,abigail84@hotmail.com,Distribution,2018-07-27,Yes,Inactive
SUPP0357,Hutchinson Ltd,South,js62733242,msmith@yahoo.com,Production,2020-05-29,Yes,Active
SUPP0178,Galloway Ltd,Spain,ll02321425,timothyrichards@gmail.com,Production,2022-05-22,Yes,Active
SUPP0290,"Navarro, Zimmerman and Cross",Spain,VI53587841,clarkjennifer@gonzalez.com,Logistics,2023-08-02,Yes,Active
SUPP0003,Berger-Baker,France,Af46334816,tammymccarty@singh-lee.net,Logistics,2018-07-30,Yes,Active
SUPP0961,Myers Ltd,United States,qw89668548,jonesfrank@jones-moore.com,Logistics,2020-08-08,No,Inactive
SUPP0788,Peterson PLC,India,fy01945999,sean47@gmail.com,Logistics,2020-06-17,Yes,Inactive
SUPP0598,Mitchell PLC,UAE,zr48201975,roberto04@howard.info,Distribution,2022-01-06,Yes,Active
SUPP0666,"Hart, Gardner and Moyer",India,Rk39803309,rmitchell@allen.org,Design,2020-03-27,Yes,Inactive
SUPP0754,Deleon Ltd,Japan,KI96500533,aarondavies@bryant.com,Logistics,2018-01-07,No,Inactive
SUPP0190,"Palmer, Fisher and Hernandez",Italy,Ca41112918,rachel17@hotmail.com,Distribution,2023-09-17,Yes,Inactive
SUPP0490,"Dennis, Kelly and Clay",United States,SM25228254,qli@yahoo.com,Logistics,2017-12-13,Yes,Inactive
SUPP0061,"Gonzalez, Sanders and Collins",Germany,Xp88276345,chavezcolton@yahoo.com,Production,2018-01-09,No,Active
SUPP0543,Morales-Smith,China,,thoward@adams.info,Distribution,2021-04-28,Yes,Inactive
SUPP0281,Harris PLC,Switzerland,Nk93236592,kendragrant@yahoo.com,Design,2024-05-26,Yes,Active
SUPP0563,Nolan-Woodard,Switzerland,eO77217857,jkline@lee.com,Logistics,2018-09-27,Yes,Inactive
SUPP0849,Haynes-Nelson,Japan,st82438047,amylee@blake.com,Distribution,2020-01-15,No,Inactive
SUPP0078,Sanders-Bowers,United States,OP33871977,deborah99@potter-johnson.com,Consulting,2015-10-09,Yes,Active
SUPP0847,Barton-Taylor,India,ZL11664313,bentleyrebecca@jones.org,Logistics,2019-12-22,Yes,Active
SUPP0304,Mills Group,China,LJ65585162,cummingsdana@yahoo.com,Distribution,2022-07-12,Yes,Inactive
SUPP0012,"Miller, Cox and Villa",UAE,rN69158393,phinton@montoya-barnes.com,Logistics,2023-12-18,Yes,Active
SUPP0869,"Carney, Gordon and Bailey",France,Mi82335458,brian44@hotmail.com,Consulting,2022-09-29,Yes,Inactive
SUPP0898,Gonzalez-Brown,India,Rn89106498,christinabrady@schmidt-davis.org,Production,2022-11-23,Yes,Inactive
SUPP0210,Gentry Ltd,UAE,iV86809823,kcline@williams-rivera.com,Distribution,2023-12-15,Yes,Active
SUPP0434,Roach-Castaneda,Brazil,Zg92339426,qsullivan@hotmail.com,Design,2023-09-12,Yes,Inactive
SUPP0886,"Hunter, Martinez and Martinez",Spain,rp67074676,michaelgomez@yahoo.com,Logistics,2019-02-19,Yes,Inactive
SUPP0831,"Brown, Ramos and Rodriguez",France,VR64926960,tracimontes@gmail.com,Logistics,2015-08-30,Yes,Inactive
SUPP0310,Ferguson Inc,United States,tt22442881,phyllishenry@gmail.com,Distribution,2024-12-04,Yes,Inactive
SUPP0923,"Joyce, Bailey and Miller",Brazil,zg13636447,charlesrivas@yahoo.com,Logistics,2016-09-13,Yes,Inactive
SUPP0700,Ramos PLC,Brazil,ef03331954,thammond@yahoo.com,Production,2017-03-01,Yes,Inactive
SUPP0729,"Soto, Sanders and Barry",Japan,eF86290718,meyerpatrick@hotmail.com,Logistics,2025-05-20,Yes,Inactive
SUPP0409,"Simmons, Huff and Johnson",Italy,To15337765,jennifergentry@smith-lopez.com,Design,2022-03-31,Yes,Active
SUPP0921,"Smith, Lewis and Rivera",India,OH02222324,velezscott@gmail.com,Logistics,2019-12-19,Yes,Inactive
SUPP0730,Landry LLC,Japan,po37090568,william25@gmail.com,Production,2024-03-19,Yes,Inactive
SUPP0968,"Smith, Hughes and Jacobson",Century,SS62046277,william33@davis.com,Consulting,2024-04-08,Yes,Inactive
SUPP0773,"Garcia, Wright and Ortiz",Spain,qd90021993,tarawoods@gmail.com,Design,2022-11-04,Yes,Inactive
SUPP0809,Bentley-Barber,France,oh87860734,brandonharris@yahoo.com,Design,2016-04-27,Yes,Inactive
SUPP0071,"Woodard, Mccarthy and Cox",UAE,KE90042725,kennedymichael@yahoo.com,Consulting,2020-10-09,Yes,Inactive
SUPP0865,"Huerta, Jimenez and Velazquez",Japan,Ns88019091,katherine02@mays.com,Production,2020-02-03,Yes,Active
SUPP0319,"Martinez, Macias and Young",France,GW47081984,fbaker@blair.com,Logistics,2021-10-04,Yes,Active
SUPP0292,Hayes LLC,China,ZL09059009,cory74@church.com,Production,2022-06-24,Yes,Inactive
SUPP0823,"Wilson, Smith and Cobb",Japan,RQ99819200,emilyjennings@garcia.com,Distribution,2022-06-07,Yes,Active
SUPP0191,Cole-Lewis,India,Bb63314500,victoria42@yahoo.com,Consulting,2023-12-20,Yes,Inactive
SUPP0423,Ruiz LLC,Switzerland,mI11881215,amymarquez@hotmail.com,Design,2023-04-29,Yes,Inactive
SUPP0364,Skinner Group,Japan,XN46131348,rodriguezpam@hotmail.com,Design,2018-10-15,Yes,Active
SUPP0052,Jacobson-Barrera,UAE,Xs17378394,invalid_email@,Consulting,2020-02-03,Yes,Inactive
SUPP0318,Dean-Reynolds,India,Cl43766737,plong@hotmail.com,Production,2024-07-16,Yes,Active
SUPP0030,Coffey-Moran,Germany,DO83257225,invalid_email@,Distribution,2022-02-27,Yes,Inactive
SUPP0787,Oconnell-Horton,China,RP06425360,johnwalker@gmail.com,Production,2018-03-24,No,Inactive
SUPP0491,Jimenez Inc,India,lv06952052,michaelwelch@brown.com,Production,2024-10-13,Yes,Active
SUPP0724,"Holt, Tate and Rosario",United States,Mo88497888,christopher88@todd.com,Distribution,2024-09-09,No,Active
SUPP0353,Golden and Sons,Germany,ca59298631,invalid_email@,Logistics,2019-10-21,Yes,Inactive
SUPP0168,Guerrero Ltd,United States,Vd55099378,mark43@jackson.net,Production,2020-12-03,Yes,Active
SUPP0137,Williams-Gonzalez,United States,Go47761844,michellelloyd@yahoo.com,Consulting,2016-11-14,Yes,Inactive
SUPP0429,"Carter, Simmons and Burton",United Kingdom,TS70842797,john64@delgado.com,Production,2019-05-18,Yes,Inactive
SUPP0340,"Wu, Price and Bradley",Spain,kx55214963,gloria41@harris-scott.biz,Distribution,2021-03-17,Yes,Inactive
SUPP0091,Johnson-Hall,United States,WW57472910,vpena@hotmail.com,Design,2022-04-01,Yes,Inactive
SUPP0530,Hanson Ltd,Switzerland,PV67047345,brian24@gmail.com,Design,2022-10-04,Yes,Inactive
SUPP0642,Rogers Ltd,Switzerland,af34187651,mjordan@gmail.com,Consulting,2021-07-05,Yes,Inactive
SUPP0061,"Gonzalez, Sanders and Collins",Germany,,chavezcolton@yahoo.com,Production,2018-01-09,No,Active
SUPP0743,Jones-Mccullough,China,zK78547760,douglas26@wu-perry.org,Consulting,2023-05-03,No,Inactive
SUPP0504,"Barker, Cruz and Scott",Brazil,Uf43147777,harold77@taylor.com,Design,2019-05-28,Yes,Inactive
SUPP0484,Bradley-Griffith,Brazil,Iq49169028,ramirezbryan@shelton.com,Production,2020-12-11,Yes,Inactive
SUPP0776,Myers Inc,United Kingdom,eX81526360,ethompson@gmail.com,Consulting,2016-02-18,Yes,Inactive
SUPP0932,"Clark, Miller and Herrera",India,qN60304482,brian82@thomas-ramirez.biz,Distribution,2021-04-07,Yes,Active
SUPP0053,Kennedy-Mendez,France,tw43410059,matthew34@hotmail.com,Logistics,2022-11-23,Yes,Active
SUPP0164,Bruce-Mcguire,Germany,Mj81664127,thomasgreen@hotmail.com,Design,2017-06-06,Yes,Inactive
SUPP0746,Lopez-Duran,Stock,Sn53831474,reyeslindsay@mccullough.com,Distribution,2021-10-02,Yes,Active
SUPP0956,Murphy-Perez,Italy,wn67035521,torresjustin@griffin.biz,Logistics,2024-08-12,No,Inactive
SUPP0311,Garza Group,Spain,oT74754318,annemcdaniel@boyd.com,Design,2021-01-22,Yes,Active
SUPP0365,Figueroa-Dennis,UAE,Ph24987940,ishepherd@nelson.info,Logistics,2023-12-09,Yes,Active
SUPP0386,Bell-Rodriguez,Brazil,eP72911465,heatherwalker@hotmail.com,Distribution,2017-10-31,Yes,Active
SUPP0070,Quinn-Trujillo,Italy,rO87552016,dorozco@sanchez.net,Distribution,2021-03-23,Yes,Inactive
SUPP0897,"Thomas, Velazquez and Ingram",Would,ha22935117,sandovalthomas@burgess.com,Distribution,2022-09-19,Yes,Inactive
SUPP0684,"Mcgrath, Skinner and Franco",India,DB94379867,mark76@yahoo.com,Production,2019-07-28,Yes,Active
SUPP0185,"Stone, Hall and Curtis",Germany,Zs73029549,gaycraig@gmail.com,Distribution,2016-08-26,Yes,Inactive
SUPP0734,"George, Lopez and Johnson",United Kingdom,hn58515249,vlopez@morales-boyd.com,Design,2019-07-29,Yes,Inactive
SUPP0619,"Allen, Riley and Stanley",Germany,ms25144964,john52@phillips.com,Distribution,2024-02-03,Yes,Inactive
SUPP0526,Santana and Sons,Switzerland,DM12678574,vdiaz@odonnell-perez.com,Production,2022-01-07,Yes,Active
SUPP0880,"Gomez, Schmitt and Barker",UAE,Ea39716780,patrick78@quinn.com,Production,2015-10-30,Yes,Active
SUPP0244,Shannon Inc,France,lv08228130,ginaserrano@clark.com,Production,2023-12-02,Yes,Inactive
SUPP0990,Miller-Hansen,France,,mooreemma@hotmail.com,Design,2019-11-16,Yes,Inactive
SUPP0173,Levy-George,France,Al92852570,millerandrea@hernandez.info,Distribution,2022-08-30,No,Active
SUPP0267,Nunez LLC,UAE,Zp62293058,martinezjason@flowers.com,Distribution,2019-09-28,Yes,Inactive
SUPP0838,Spears Ltd,UAE,pN88895674,dmitchell@gmail.com,Production,2019-05-27,Yes,Inactive
SUPP0905,Hart-Baldwin,United Kingdom,nl67836572,blanchardnicole@hotmail.com,Production,2015-06-24,Yes,Inactive
SUPP0601,Herrera Ltd,Germany,Jb88746643,schmidtmeagan@jackson.com,Production,2023-08-18,Yes,Inactive
SUPP0082,"Carter, Hernandez and Smith",Century,iW14139680,wmills@ross-wolfe.com,Production,2016-12-01,Yes,Active
SUPP0431,Schmidt-Wolfe,France,zh61909193,franceshorne@mcgrath.org,Production,2022-10-19,Yes,Inactive
SUPP0561,Lawson Ltd,Japan,Ly66153328,kyoung@yahoo.com,Logistics,2019-09-15,Yes,Inactive
SUPP0182,"Smith, Wilkerson and Carson",Spain,Vp25914911,penningtonmichael@wood-johnston.com,Distribution,2023-05-25,No,Inactive
SUPP0208,"Drake, Patterson and Frank",India,LZ60034564,scottheidi@gmail.com,Design,2022-05-30,No,Inactive
SUPP0113,"Hernandez, Ortiz and Dougherty",Japan,ZV57545428,brianna73@hotmail.com,Consulting,2016-12-06,Yes,Active
SUPP0351,Green LLC,Japan,Ef52925027,elizabethharris@reynolds-murray.com,Distribution,2024-06-26,Yes,Active
SUPP0891,Long Group,China,mB34476660,michellehughes@gmail.com,Production,2018-01-22,Yes,Inactive
SUPP0083,Johnson Group,United Kingdom,Cb61109429,carolwong@yahoo.com,Logistics,2025-05-31,Yes,Active
SUPP0452,"Washington, Boyd and Hicks",UAE,zH69885301,torreskristen@hotmail.com,Design,2016-03-05,Yes,Active
SUPP0488,"Wheeler, Kelly and Bush",His,dn51367650,danielstafford@weaver.com,Distribution,2025-04-06,Yes,Active
SUPP0139,Davis LLC,Italy,tB20848450,alexandercarroll@gmail.com,Consulting,2019-02-27,Yes,Inactive
SUPP0819,Foley-Martinez,UAE,,jameslawrence@gmail.com,Consulting,2024-02-11,Yes,Active
SUPP0917,"Arellano, Cole and Molina",Japan,ot70749061,justin44@daniels.com,Production,2024-12-30,No,Active
SUPP0957,Green Ltd,Spain,Iq56061175,jamie00@gmail.com,Design,2020-07-27,Yes,Inactive
SUPP0341,Chavez-Cooper,China,np81680238,jessica13@yahoo.com,Logistics,2019-01-27,Yes,Inactive
SUPP0523,Mcintosh-Burnett,United Kingdom,nY19409262,bradley41@knox.com,Consulting,2021-11-03,Yes,Inactive
SUPP0241,"Johnson, Stafford and Williams",China,Wh35127551,eburke@hotmail.com,Distribution,2022-09-07,No,Active
SUPP0673,"Hawkins, Mays and Phillips",Switzerland,Nh47116782,invalid_email@,Consulting,2017-07-22,Yes,Inactive
SUPP0778,Smith PLC,China,vn09994302,etyler@gmail.com,Distribution,2016-06-29,Yes,Active
SUPP0652,Scott-Baker,Switzerland,Fy94599952,rwarren@francis.info,Production,2019-11-18,Yes,Inactive
SUPP0763,Hancock Ltd,Japan,Ae49223447,qwoodard@yahoo.com,Distribution,2024-08-16,No,Active
SUPP0258,Myers PLC,Spain,fs05736010,ywright@martin-phillips.com,Consulting,2020-06-05,Yes,Inactive
SUPP0855,Fox-Wilson,United States,HZ30160855,stephanie08@jones-snyder.com,Production,2019-05-10,Yes,Inactive
SUPP0217,"Woods, Smith and Robertson",Brazil,AV10056776,jessicamontoya@fox.com,Consulting,2017-11-13,Yes,Inactive
SUPP0938,"Holland, Carpenter and Gibson",UAE,VS09659491,rick63@yahoo.com,Logistics,2019-12-20,Yes,Inactive
SUPP0913,Bowen Ltd,Japan,hf50722760,invalid_email@,Consulting,2015-11-26,Yes,Inactive
SUPP0458,"Noble, James and White",Switzerland,XE03043504,christina93@gmail.com,Logistics,2016-09-19,Yes,Active
SUPP0741,Morrow PLC,China,he18757909,kelsey04@bass-pierce.biz,Production,2017-04-03,Yes,Inactive
SUPP0283,"Morrow, Mendez and Berry",Switzerland,Be01303219,chanmatthew@smith.com,Design,2019-09-19,No,Inactive
SUPP0497,Gentry-Black,Switzerland,gx13741618,qkelly@horne-randolph.net,Consulting,2023-10-28,Yes,Active
SUPP0236,Garcia-Christian,Brazil,nn15037308,jared14@baker-jenkins.com,Distribution,2022-02-23,Yes,Active
SUPP0826,Moore Ltd,United Kingdom,HL71406349,markfloyd@hotmail.com,Production,2021-01-04,No,Inactive
SUPP0608,Thompson-Chandler,Spain,dj27272528,dcummings@howard-kim.com,Logistics,2019-08-10,Yes,Active
SUPP0338,York Group,UAE,gB41088737,rhodeselizabeth@williams.com,Logistics,2018-09-13,No,Active
SUPP0368,Stein PLC,Money,Bq44160687,millerjohn@martin.com,Logistics,2015-12-31,Yes,Active
SUPP0617,Thomas PLC,Switzerland,Fh29237245,gloverjustin@gmail.com,Consulting,2019-07-13,Yes,Inactive
SUPP0686,Mitchell-Parker,Switzerland,PW46970886,ngarcia@underwood.com,Production,2017-02-08,Yes,Inactive
SUPP0169,Smith-Hall,Spain,QB07102558,cmiller@gmail.com,Distribution,2018-10-07,Yes,Inactive
SUPP0989,"Rowe, Washington and Butler",Switzerland,bZ98137675,danwilliams@montgomery-williams.com,Consulting,2021-06-25,Yes,Inactive
SUPP0824,Berry-Rodriguez,India,OR21311650,nmorales@hotmail.com,Distribution,2020-09-28,Yes,Active
SUPP0127,Clark PLC,Spain,aN04300947,robinsoncody@perez.com,Consulting,2023-10-30,Yes,Active
SUPP0135,"Allen, Cruz and Sullivan",Brazil,iL43348008,patriciabush@wright-warren.info,Consulting,2024-04-19,Yes,Inactive
SUPP0796,Graham-Liu,India,TV02005197,shirleyfigueroa@gmail.com,Consulting,2024-01-15,Yes,Inactive
SUPP0324,"Rivera, Byrd and Stone",United States,Ev24130927,ydyer@gmail.com,Logistics,2017-10-27,Yes,Active
SUPP0243,Burke Inc,Japan,uD25617315,joseph54@dillon.com,Consulting,2018-08-22,Yes,Active
SUPP0544,Williams-Ford,France,rq33639922,pgreen@gmail.com,Production,2022-05-04,Yes,Inactive
SUPP0530,Hanson Ltd,Feel,PV67047345,brian24@gmail.com,Design,2022-10-04,Yes,Inactive
SUPP0162,"Hampton, Rhodes and Contreras",India,Dm56351037,hquinn@yahoo.com,Distribution,2017-06-13,Yes,Active
SUPP0268,Fitzpatrick-Garrison,Switzerland,RH77742006,tamara68@gmail.com,Logistics,2020-04-30,Yes,Active
SUPP0187,"Aguilar, Jones and Lloyd",Spain,pm73422325,amy88@wilson-alvarez.net,Design,2020-05-10,Yes,Inactive
SUPP0408,Haynes Inc,Switzerland,jD04227137,toddskinner@hotmail.com,Logistics,2018-10-18,No,Active
SUPP0401,"Osborn, Carrillo and Mcdowell",India,wv38532094,angela98@gmail.com,Consulting,2017-07-30,Yes,Active
SUPP0121,Fields LLC,India,ul15176414,michael13@hall-pope.com,Consulting,2023-04-10,No,Inactive
SUPP0270,Patterson-Perez,China,Da35653496,kevin45@hotmail.com,Consulting,2023-02-05,Yes,Inactive
